LIMIT,COLOR_RED,COLOR_GREEN,COLOR_BLUE
-250,64,0,127
-100,60,0,143
-50,56,0,159
-40,52,32,175
-30,48,64,191
-20,48,96,207
-10,8,128,223
0,14,160,239
10,17,192,255
20,17,224,255
30,43,245,231
40,70,247,193
50,104,248,163
60,133,251,138
70,164,254,96
80,193,252,62
90,223,254,28
100,240,255,2
110,240,237,1
120,240,222,0
130,244,199,0
140,244,184,0
150,244,160,0
160,248,142,0
170,248,125,0
180,248,109,0
190,252,91,0
200,240,70,0
250,228,54,13
500,216,37,0
1000,204,16,0
2000,192,7,0
3000,170,0,0
9000,140,0,0
