seasontype,wk,name1,name2,name3,name4,name5,name6,name7,value
2,1,events,shortName,NA,NA,NA,NA,NA,KC @ NE
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-08T00:30Z
2,1,events,competitions,competitors,score,NA,NA,NA,27
2,1,events,competitions,competitors,score,NA,NA,NA,42
2,1,events,shortName,NA,NA,NA,NA,NA,NYJ @ BUF
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-10T17:00Z
2,1,events,competitions,competitors,score,NA,NA,NA,21
2,1,events,competitions,competitors,score,NA,NA,NA,12
2,1,events,shortName,NA,NA,NA,NA,NA,ATL @ CHI
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-10T17:00Z
2,1,events,competitions,competitors,score,NA,NA,NA,17
2,1,events,competitions,competitors,score,NA,NA,NA,23
2,1,events,shortName,NA,NA,NA,NA,NA,BAL @ CIN
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-10T17:00Z
2,1,events,competitions,competitors,score,NA,NA,NA,0
2,1,events,competitions,competitors,score,NA,NA,NA,20
2,1,events,shortName,NA,NA,NA,NA,NA,PIT @ CLE
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-10T17:00Z
2,1,events,competitions,competitors,score,NA,NA,NA,18
2,1,events,competitions,competitors,score,NA,NA,NA,21
2,1,events,shortName,NA,NA,NA,NA,NA,ARI @ DET
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-10T17:00Z
2,1,events,competitions,competitors,score,NA,NA,NA,35
2,1,events,competitions,competitors,score,NA,NA,NA,23
2,1,events,shortName,NA,NA,NA,NA,NA,OAK @ TEN
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-10T17:00Z
2,1,events,competitions,competitors,score,NA,NA,NA,16
2,1,events,competitions,competitors,score,NA,NA,NA,26
2,1,events,shortName,NA,NA,NA,NA,NA,PHI @ WSH
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-10T17:00Z
2,1,events,competitions,competitors,score,NA,NA,NA,17
2,1,events,competitions,competitors,score,NA,NA,NA,30
2,1,events,shortName,NA,NA,NA,NA,NA,JAX @ HOU
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-10T17:00Z
2,1,events,competitions,competitors,score,NA,NA,NA,7
2,1,events,competitions,competitors,score,NA,NA,NA,29
2,1,events,shortName,NA,NA,NA,NA,NA,IND @ LAR
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-10T20:05Z
2,1,events,competitions,competitors,score,NA,NA,NA,46
2,1,events,competitions,competitors,score,NA,NA,NA,9
2,1,events,shortName,NA,NA,NA,NA,NA,SEA @ GB
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-10T20:25Z
2,1,events,competitions,competitors,score,NA,NA,NA,17
2,1,events,competitions,competitors,score,NA,NA,NA,9
2,1,events,shortName,NA,NA,NA,NA,NA,CAR @ SF
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-10T20:25Z
2,1,events,competitions,competitors,score,NA,NA,NA,3
2,1,events,competitions,competitors,score,NA,NA,NA,23
2,1,events,shortName,NA,NA,NA,NA,NA,NYG @ DAL
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-11T00:30Z
2,1,events,competitions,competitors,score,NA,NA,NA,19
2,1,events,competitions,competitors,score,NA,NA,NA,3
2,1,events,shortName,NA,NA,NA,NA,NA,TB @ MIA
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-10T17:00Z
2,1,events,competitions,competitors,score,NA,NA,NA,0
2,1,events,competitions,competitors,score,NA,NA,NA,0
2,1,events,shortName,NA,NA,NA,NA,NA,NO @ MIN
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-11T23:10Z
2,1,events,competitions,competitors,score,NA,NA,NA,29
2,1,events,competitions,competitors,score,NA,NA,NA,19
2,1,events,shortName,NA,NA,NA,NA,NA,LAC @ DEN
2,1,events,competitions,date,NA,NA,NA,NA,2017-09-12T02:20Z
2,1,events,competitions,competitors,score,NA,NA,NA,24
2,1,events,competitions,competitors,score,NA,NA,NA,21
