city,state,country,lat,lng,pop
Glendale,AZ,US,33.53865,-112.18599,240126
Atlanta,GA,US,33.749,-84.38798,463878
Baltimore,MD,US,39.29038,-76.61219,621849
Buffalo,NY,US,42.88645,-78.87837,258071
Charlotte,NC,US,35.22709,-80.84313,827097
Chicago,IL,US,41.85003,-87.65005,2720546
Cincinnati,OH,US,39.12711,-84.51439,296943
Cleveland,OH,US,41.4995,-81.69541,388072
Dallas,TX,US,32.78306,-96.80667,1300092
Denver,CO,US,39.73915,-104.9847,682545
Detroit,MI,US,42.33143,-83.04575,677116
Green Bay,WI,US,44.51916,-88.01983,105207
Houston,TX,US,29.76328,-95.36327,2296224
Indianapolis,IN,US,39.76838,-86.15804,829718
Jacksonville,FL,US,30.33218,-81.65565,868031
Kansas City,KS,US,39.11417,-94.62746,151306
Los Angeles,CA,US,34.05223,-118.24368,3971883
Miami,FL,US,25.77427,-80.19366,441003
Minneapolis,MN,US,44.97997,-93.26384,410939
Foxborough,MA,US,42.06538,-71.24783,5625
New Orleans,LA,US,29.95465,-90.07507,389617
New York City,NY,US,40.71427,-74.00597,8175133
Oakland,CA,US,37.80437,-122.2708,419267
Philadelphia,PA,US,39.95233,-75.16379,1567442
Pittsburgh,PA,US,40.44062,-79.99589,304391
San Francisco,04,CR,9.99299,-84.12934,55923
Seattle,WA,US,47.60621,-122.33207,684451
Tampa Bay,FL,US,27.87307,-82.51007,2733761
Nashville,TN,US,36.16589,-86.78444,530852
"Washington, D.C.",DC,US,38.89511,-77.03637,601723
San Diego,CA,US,32.71571,-117.16472,1394928
St. Louis,MO,US,38.63162,-90.24925,2816710
