season,tm,w,w_sportsbook,result
2010,ARI,7,5,U
2010,ATL,9,13,O
2010,BAL,10,12,O
2010,BUF,5,4,U
2010,CAR,7,2,U
2010,CHI,8,11,O
2010,CIN,8,4,U
2010,CLE,5,5,U
2010,DAL,10,6,U
2010,DEN,7,4,U
2010,DET,5,6,O
2010,GBY,9,10,O
2010,HOU,8,6,U
2010,IND,10,10,U
2010,JAX,7,8,O
2010,KCY,6,10,O
2010,LAC,10,9,U
2010,LAR,4,7,O
2010,LAR,4,7,O
2010,MIA,8,7,U
2010,MIN,9,6,U
2010,NWE,9,14,O
2010,NOR,10,11,O
2010,NYG,9,10,O
2010,NYJ,9,11,O
2010,OAK,6,8,O
2010,PHI,8,10,O
2010,PIT,8,12,O
2010,SFO,9,6,U
2010,SEA,7,7,P
2010,TBY,6,10,O
2010,TEN,8,6,U
2010,WAS,7,6,U
2011,ARI,7,8,O
2011,ATL,10,10,P
2011,BAL,10,12,O
2011,BUF,5,6,O
2011,CAR,4,6,O
2011,CHI,8,8,U
2011,CIN,5,9,O
2011,CLE,6,4,U
2011,DAL,9,8,U
2011,DEN,6,8,O
2011,DET,8,10,O
2011,GBY,11,15,O
2011,HOU,9,10,O
2011,IND,NA,2,NA
2011,JAX,6,5,U
2011,KCY,7,7,U
2011,LAC,11,8,U
2011,LAR,7,2,U
2011,LAR,7,2,U
2011,MIA,7,6,U
2011,MIN,7,3,U
2011,NWE,11,13,O
2011,NOR,10,13,O
2011,NYG,9,9,U
2011,NYJ,10,8,U
2011,OAK,6,8,O
2011,PHI,10,8,U
2011,PIT,10,12,O
2011,SFO,7,13,O
2011,SEA,6,7,O
2011,TBY,8,4,U
2011,TEN,6,9,O
2011,WAS,6,5,U
2012,ARI,7,5,U
2012,ATL,9,13,O
2012,BAL,10,10,P
2012,BUF,8,6,U
2012,CAR,7,7,U
2012,CHI,9,10,O
2012,CIN,8,10,O
2012,CLE,5,5,U
2012,DAL,8,8,U
2012,DEN,8,13,O
2012,DET,9,4,U
2012,GBY,12,11,U
2012,HOU,10,12,O
2012,IND,5,11,O
2012,JAX,5,2,U
2012,KCY,8,2,U
2012,LAC,9,7,U
2012,LAR,6,7,O
2012,LAR,6,7,O
2012,MIA,7,7,P
2012,MIN,6,10,O
2012,NWE,12,12,P
2012,NOR,9,7,U
2012,NYG,9,9,P
2012,NYJ,8,6,U
2012,OAK,7,4,U
2012,PHI,10,4,U
2012,PIT,10,8,U
2012,SFO,10,11,O
2012,SEA,7,11,O
2012,TBY,6,7,O
2012,TEN,7,6,U
2012,WAS,6,10,O
2013,ARI,5,10,O
2013,ATL,10,4,U
2013,BAL,8,8,U
2013,BUF,6,6,U
2013,CAR,7,12,O
2013,CHI,8,8,U
2013,CIN,8,11,O
2013,CLE,6,4,U
2013,DAL,8,8,U
2013,DEN,11,13,O
2013,DET,8,7,U
2013,GBY,10,8,U
2013,HOU,10,2,U
2013,IND,8,11,O
2013,JAX,5,4,U
2013,KCY,7,11,O
2013,LAC,7,9,O
2013,LAR,7,7,U
2013,LAR,7,7,U
2013,MIA,8,8,P
2013,MIN,7,5,U
2013,NWE,11,12,O
2013,NOR,9,11,O
2013,NYG,9,7,U
2013,NYJ,6,8,O
2013,OAK,5,4,U
2013,PHI,7,10,O
2013,PIT,9,8,U
2013,SFO,11,12,O
2013,SEA,10,13,O
2013,TBY,7,4,U
2013,TEN,6,7,O
2013,WAS,8,3,U
2014,ARI,7,11,O
2014,ATL,8,6,U
2014,BAL,8,10,O
2014,BUF,6,9,O
2014,CAR,8,7,U
2014,CHI,8,5,U
2014,CIN,9,10,O
2014,CLE,6,7,O
2014,DAL,8,12,O
2014,DEN,11,12,O
2014,DET,8,11,O
2014,GBY,10,12,O
2014,HOU,7,9,O
2014,IND,9,11,O
2014,JAX,5,3,U
2014,KCY,8,9,O
2014,LAC,8,9,O
2014,LAR,7,6,U
2014,LAR,7,6,U
2014,MIA,8,8,P
2014,MIN,6,7,O
2014,NWE,10,12,O
2014,NOR,10,7,U
2014,NYG,8,6,U
2014,NYJ,7,4,U
2014,OAK,5,3,U
2014,PHI,9,10,O
2014,PIT,8,11,O
2014,SFO,10,8,U
2014,SEA,11,12,O
2014,TBY,7,2,U
2014,TEN,7,2,U
2014,WAS,7,4,U
2015,ARI,8,13,O
2015,ATL,8,8,U
2015,BAL,9,5,U
2015,BUF,8,8,U
2015,CAR,8,15,O
2015,CHI,6,6,U
2015,CIN,8,12,O
2015,CLE,6,3,U
2015,DAL,9,4,U
2015,DEN,10,12,O
2015,DET,8,7,U
2015,GBY,11,10,U
2015,HOU,8,9,O
2015,IND,10,8,U
2015,JAX,5,5,U
2015,KCY,8,11,O
2015,LAC,8,4,U
2015,LAR,7,7,U
2015,LAR,7,7,U
2015,MIA,9,6,U
2015,MIN,8,11,O
2015,NWE,10,12,O
2015,NOR,8,7,U
2015,NYG,8,6,U
2015,NYJ,7,10,O
2015,OAK,5,7,O
2015,PHI,10,7,U
2015,PIT,8,10,O
2015,SFO,6,5,U
2015,SEA,11,10,U
2015,TBY,6,6,P
2015,TEN,5,3,U
2015,WAS,6,9,O
2016,ARI,10,7,U
2016,ATL,7,11,O
2016,BAL,8,8,U
2016,BUF,8,7,U
2016,CAR,10,6,U
2016,CHI,7,3,U
2016,CIN,9,6,U
2016,CLE,4,1,U
2016,DAL,8,13,O
2016,DEN,9,9,U
2016,DET,7,9,O
2016,GBY,10,10,U
2016,HOU,8,9,O
2016,IND,9,8,U
2016,JAX,7,3,U
2016,KCY,9,12,O
2016,LAC,7,5,U
2016,LAR,7,4,U
2016,LAR,7,4,U
2016,MIA,7,10,O
2016,MIN,8,8,U
2016,NWE,10,14,O
2016,NOR,7,7,P
2016,NYG,8,11,O
2016,NYJ,8,5,U
2016,OAK,8,12,O
2016,PHI,6,7,O
2016,PIT,10,11,O
2016,SFO,5,2,U
2016,SEA,10,10,U
2016,TBY,7,9,O
2016,TEN,6,9,O
2016,WAS,7,8,O
2017,ARI,8,8,U
2017,ATL,9,10,O
2017,BAL,8,9,O
2017,BUF,6,9,O
2017,CAR,9,11,O
2017,CHI,5,5,U
2017,CIN,8,7,U
2017,CLE,4,0,U
2017,DAL,9,9,U
2017,DEN,8,5,U
2017,DET,7,9,O
2017,GBY,10,7,U
2017,HOU,8,4,U
2017,IND,8,4,U
2017,JAX,6,10,O
2017,KCY,9,10,O
2017,LAC,7,9,O
2017,LAR,6,11,O
2017,LAR,6,11,O
2017,MIA,7,6,U
2017,MIN,8,13,O
2017,NWE,12,13,O
2017,NOR,8,11,O
2017,NYG,9,3,U
2017,NYJ,3,5,O
2017,OAK,9,6,U
2017,PHI,8,13,O
2017,PIT,10,13,O
2017,SFO,5,6,O
2017,SEA,10,9,U
2017,TBY,8,5,U
2017,TEN,9,9,P
2017,WAS,7,7,U
